winning_party_alliance,id
Блок ХДС/ХСС,138
Блок ХДС/ХСС,139
Блок ХДС/ХСС,140
Блок ХДС/ХСС,141
Блок ХДС/ХСС,142
Блок ХДС/ХСС,143
Блок ХДС/ХСС,144
Блок ХДС/ХСС,145
Блок ХДС/ХСС,146
Блок ХДС/ХСС,147
Блок ХДС/ХСС,148
Блок ХДС/ХСС,149
Блок ХДС/ХСС,150
Блок ХДС/ХСС,151
Блок ХДС/ХСС,152
Блок ХДС/ХСС,153
Блок ХДС/ХСС,154
Блок ХДС/ХСС,155
Блок ХДС/ХСС,156
Блок ХДС/ХСС,157
Блок ХДС/ХСС,158
Блок ХДС/ХСС,159
Блок ХДС/ХСС,160
Блок ХДС/ХСС,161
Блок ХДС/ХСС,162
Блок ХДС/ХСС,163
Блок ХДС/ХСС,164
Блок ХДС/ХСС,165
Блок ХДС/ХСС,166
Блок ХДС/ХСС,167
Блок ХДС/ХСС,168
Блок ХДС/ХСС,169
Блок ХДС/ХСС,170
Блок ХДС/ХСС,171
Блок ХДС/ХСС,172
Блок ХДС/ХСС,173
Блок ХДС/ХСС,174
Блок ХДС/ХСС,175
Блок ХДС/ХСС,176
Блок ХДС/ХСС,177
Блок ХДС/ХСС,178
Блок ХДС/ХСС,179
Блок ХДС/ХСС,180
Блок ХДС/ХСС,181
Блок ХДС/ХСС,182
Блок ХДС/ХСС,183
Блок ХДС/ХСС,184
Блок ХДС/ХСС,185
Блок ХДС/ХСС,186
Блок ХДС/ХСС,187
Блок ХДС/ХСС,188
Блок ХДС/ХСС,189
Блок ХДС/ХСС,190
Блок ХДС/ХСС,191
Блок ХДС/ХСС,192
Блок ХДС/ХСС,193
Блок ХДС/ХСС,194
Блок ХДС/ХСС,195
Блок ХДС/ХСС,196
Зелені,1
Зелені,2
Зелені,3
Зелені,4
Зелені,5
Зелені,6
Зелені,7
Зелені,8
Зелені,9
Зелені,10
Зелені,11
Зелені,12
Зелені,13
Зелені,14
Зелені,15
Зелені,16
Зелені,17
Зелені,18
Зелені,19
Зелені,20
Зелені,21
Зелені,22
Зелені,23
Зелені,24
Зелені,25
Зелені,26
Зелені,27
Зелені,28
Зелені,29
Зелені,30
Зелені,31
Зелені,32
Зелені,33
Зелені,34
Зелені,35
Зелені,36
Зелені,37
Зелені,38
Зелені,39
Зелені,40
Зелені,41
Зелені,42
Зелені,43
Зелені,44
Зелені,45
Зелені,46
Зелені,47
Зелені,48
Зелені,49
Зелені,50
Зелені,51
Зелені,52
Зелені,53
Зелені,54
Зелені,55
Зелені,56
Зелені,57
Зелені,58
Зелені,59
Зелені,60
Зелені,61
Зелені,62
Зелені,63
Зелені,64
Зелені,65
Зелені,66
Зелені,67
Зелені,68
Зелені,69
Зелені,70
Зелені,71
Зелені,72
Зелені,73
Зелені,74
Зелені,75
Зелені,76
Зелені,77
Зелені,78
Зелені,79
Зелені,80
Зелені,81
Зелені,82
Зелені,83
Зелені,84
Зелені,85
Зелені,86
Зелені,87
Зелені,88
Зелені,89
Зелені,90
Зелені,91
Зелені,92
Зелені,93
Зелені,94
Зелені,95
Зелені,96
Зелені,97
Зелені,98
Зелені,99
Зелені,100
Зелені,101
Зелені,102
Зелені,103
Зелені,104
Зелені,105
Зелені,106
Зелені,107
Зелені,108
Зелені,109
Зелені,110
Зелені,111
Зелені,112
Зелені,113
Зелені,114
Зелені,115
Зелені,116
Зелені,117
Зелені,118
Вільна демократична партія,1
Вільна демократична партія,2
Вільна демократична партія,3
Вільна демократична партія,4
Вільна демократична партія,5
Вільна демократична партія,6
Вільна демократична партія,7
Вільна демократична партія,8
Вільна демократична партія,9
Вільна демократична партія,10
Вільна демократична партія,11
Вільна демократична партія,12
Вільна демократична партія,13
Вільна демократична партія,14
Вільна демократична партія,15
Вільна демократична партія,16
Вільна демократична партія,17
Вільна демократична партія,18
Вільна демократична партія,19
Вільна демократична партія,20
Вільна демократична партія,21
Вільна демократична партія,22
Вільна демократична партія,23
Вільна демократична партія,24
Вільна демократична партія,25
Вільна демократична партія,26
Вільна демократична партія,27
Вільна демократична партія,28
Вільна демократична партія,29
Вільна демократична партія,30
Вільна демократична партія,31
Вільна демократична партія,32
Вільна демократична партія,33
Вільна демократична партія,34
Вільна демократична партія,35
Вільна демократична партія,36
Вільна демократична партія,37
Вільна демократична партія,38
Вільна демократична партія,39
Вільна демократична партія,40
Вільна демократична партія,41
Вільна демократична партія,42
Вільна демократична партія,43
Вільна демократична партія,44
Вільна демократична партія,45
Вільна демократична партія,46
Вільна демократична партія,47
Вільна демократична партія,48
Вільна демократична партія,49
Вільна демократична партія,50
Вільна демократична партія,51
Вільна демократична партія,52
Вільна демократична партія,53
Вільна демократична партія,54
Вільна демократична партія,55
Вільна демократична партія,56
Вільна демократична партія,57
Вільна демократична партія,58
Вільна демократична партія,59
Вільна демократична партія,60
Вільна демократична партія,61
Вільна демократична партія,62
Вільна демократична партія,63
Вільна демократична партія,64
Вільна демократична партія,65
Вільна демократична партія,66
Вільна демократична партія,67
Вільна демократична партія,68
Вільна демократична партія,69
Вільна демократична партія,70
Вільна демократична партія,71
Вільна демократична партія,72
Вільна демократична партія,73
Вільна демократична партія,74
Вільна демократична партія,75
Вільна демократична партія,76
Вільна демократична партія,77
Вільна демократична партія,78
Вільна демократична партія,79
Вільна демократична партія,80
Вільна демократична партія,81
Вільна демократична партія,82
Вільна демократична партія,83
Вільна демократична партія,84
Вільна демократична партія,85
Вільна демократична партія,86
Вільна демократична партія,87
Вільна демократична партія,88
Вільна демократична партія,89
Вільна демократична партія,90
Вільна демократична партія,91
Вільна демократична партія,92
Альтернатива для Німеччини,1
Альтернатива для Німеччини,2
Альтернатива для Німеччини,3
Альтернатива для Німеччини,4
Альтернатива для Німеччини,5
Альтернатива для Німеччини,6
Альтернатива для Німеччини,7
Альтернатива для Німеччини,8
Альтернатива для Німеччини,9
Альтернатива для Німеччини,10
Альтернатива для Німеччини,11
Альтернатива для Німеччини,12
Альтернатива для Німеччини,13
Альтернатива для Німеччини,14
Альтернатива для Німеччини,15
Альтернатива для Німеччини,16
Альтернатива для Німеччини,17
Альтернатива для Німеччини,18
Альтернатива для Німеччини,19
Альтернатива для Німеччини,20
Альтернатива для Німеччини,21
Альтернатива для Німеччини,22
Альтернатива для Німеччини,23
Альтернатива для Німеччини,24
Альтернатива для Німеччини,25
Альтернатива для Німеччини,26
Альтернатива для Німеччини,27
Альтернатива для Німеччини,28
Альтернатива для Німеччини,29
Альтернатива для Німеччини,30
Альтернатива для Німеччини,31
Альтернатива для Німеччини,32
Альтернатива для Німеччини,33
Альтернатива для Німеччини,34
Альтернатива для Німеччини,35
Альтернатива для Німеччини,36
Альтернатива для Німеччини,37
Альтернатива для Німеччини,38
Альтернатива для Німеччини,39
Альтернатива для Німеччини,40
Альтернатива для Німеччини,41
Альтернатива для Німеччини,42
Альтернатива для Німеччини,43
Альтернатива для Німеччини,44
Альтернатива для Німеччини,45
Альтернатива для Німеччини,46
Альтернатива для Німеччини,47
Альтернатива для Німеччини,48
Альтернатива для Німеччини,49
Альтернатива для Німеччини,50
Альтернатива для Німеччини,51
Альтернатива для Німеччини,52
Альтернатива для Німеччини,53
Альтернатива для Німеччини,54
Альтернатива для Німеччини,55
Альтернатива для Німеччини,56
Альтернатива для Німеччини,57
Альтернатива для Німеччини,58
Альтернатива для Німеччини,59
Альтернатива для Німеччини,60
Альтернатива для Німеччини,61
Альтернатива для Німеччини,62
Альтернатива для Німеччини,63
Альтернатива для Німеччини,64
Альтернатива для Німеччини,65
Альтернатива для Німеччини,66
Альтернатива для Німеччини,67
Альтернатива для Німеччини,68
Альтернатива для Німеччини,69
Альтернатива для Німеччини,70
Альтернатива для Німеччини,71
Альтернатива для Німеччини,72
Альтернатива для Німеччини,73
Альтернатива для Німеччини,74
Альтернатива для Німеччини,75
Альтернатива для Німеччини,76
Альтернатива для Німеччини,77
Альтернатива для Німеччини,78
Альтернатива для Німеччини,79
Альтернатива для Німеччини,80
Альтернатива для Німеччини,81
Альтернатива для Німеччини,82
Альтернатива для Німеччини,83
Ліві,1
Ліві,2
Ліві,3
Ліві,4
Ліві,5
Ліві,6
Ліві,7
Ліві,8
Ліві,9
Ліві,10
Ліві,11
Ліві,12
Ліві,13
Ліві,14
Ліві,15
Ліві,16
Ліві,17
Ліві,18
Ліві,19
Ліві,20
Ліві,21
Ліві,22
Ліві,23
Ліві,24
Ліві,25
Ліві,26
Ліві,27
Ліві,28
Ліві,29
Ліві,30
Ліві,31
Ліві,32
Ліві,33
Ліві,34
Ліві,35
Ліві,36
Ліві,37
Ліві,38
Ліві,39
Союз виборців Південного Шлезвігу,1
