Country,Value
2019-07-22,5
2019-07-23,1
2019-07-24,2
2019-07-25,11
2019-07-27,2
2019-07-28,0
2019-07-29,2
2019-08-01,1
2019-08-05,1
2019-08-06,3
2019-08-09,1
2019-08-10,1
2019-08-12,0
2019-08-14,1
2019-08-16,14
2019-08-22,1
2019-08-29,7
2019-08-30,4
2019-08-31,2
2019-09-01,1
2019-09-03,6
2019-09-04,1
2019-09-05,5
2019-09-07,2
2019-09-08,0
2019-09-09,1
2019-09-10,9
2019-09-11,9
2019-09-12,0
2019-09-13,1
2019-09-17,1
2019-09-18,1
2019-09-19,13
2019-09-20,8
2019-09-21,0
2019-09-23,10
2019-09-24,2
2019-09-25,13
2019-09-28,1
2019-10-02,2
2019-10-03,2
2019-10-11,1
2019-10-16,2
2019-10-17,3
2019-10-18,12
2019-10-19,2
2019-10-21,5
2019-10-23,1
2019-10-24,1
2019-10-25,11
2019-10-26,3
2019-10-27,1
2019-10-28,3
2019-10-30,6
2019-10-31,4
2019-11-05,13
2019-11-06,2
2019-11-08,2
2019-11-12,3
2019-11-14,3
2019-11-15,0
2019-11-18,2
2019-11-19,10
2019-11-20,7
2019-11-21,0
2019-11-22,0
2019-11-25,15
2019-11-26,15
2019-11-27,2
2019-11-28,8
2019-11-29,2
2019-11-30,12
2019-12-04,11
2019-12-05,2
2019-12-07,2
2019-12-09,11
2019-12-10,2
2019-12-11,14
2019-12-12,10
2019-12-16,4
2019-12-19,3
2019-12-20,2
2019-12-21,1
2019-12-23,0
2019-12-24,4
2019-12-25,0
2019-12-27,1
2019-12-29,0
2019-12-31,1
2020-01-04,0
2020-01-07,1
2020-01-08,2
2020-01-14,7
2020-01-15,1
2020-01-16,1
2020-01-17,7
2020-01-21,7
2020-01-22,1
2020-01-23,6
2020-01-24,1
2020-01-25,3
2020-01-28,9
2020-01-29,8
2020-01-31,3
2020-02-01,1
2020-02-02,1
2020-02-04,1
2020-02-06,1
2020-02-12,26
2020-02-13,0
2020-02-14,0
2020-02-17,1
2020-02-18,6
2020-02-19,1
2020-02-21,1
2020-02-24,1
2020-02-25,0
2020-02-26,3
2020-02-27,1
2020-02-29,3
2020-03-02,1
2020-03-04,5
2020-03-06,6
2020-03-07,1
2020-03-10,7
2020-03-11,1
2020-03-12,1
2020-03-13,3
2020-03-14,1
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,1
2020-03-23,3
2020-03-25,3
2020-03-27,3
2020-03-28,1
2020-03-30,6
2020-03-31,13
2020-04-01,2
2020-04-02,1
2020-04-03,2
2020-04-04,2
2020-04-08,2
2020-04-09,2
2020-04-10,2
2020-04-11,1
2020-04-13,7
2020-04-14,1
2020-04-15,2
2020-04-16,5
2020-04-17,9
2020-04-20,1
2020-04-21,1
2020-04-23,1
2020-04-24,1
2020-04-25,3
2020-04-26,2
2020-04-27,2
2020-04-28,2
2020-04-29,2
2020-04-30,8
2020-05-01,2
2020-05-03,1
2020-05-05,2
2020-05-06,1
2020-05-07,1
2020-05-08,0
2020-05-09,3
2020-05-12,1
2020-05-13,11
2020-05-14,2
2020-05-15,1
2020-05-16,1
2020-05-18,1
2020-05-20,2
2020-05-21,0
2020-05-22,7
2020-05-23,3
2020-05-25,4
2020-05-26,11
2020-05-27,20
2020-05-28,14
2020-05-29,3
2020-06-01,15
2020-06-02,3
2020-06-03,4
2020-06-04,2
2020-06-05,2
2020-06-06,1
2020-06-07,2
2020-06-10,1
2020-06-11,0
2020-06-12,3
2020-06-13,2
2020-06-15,7
2020-06-16,9
2020-06-17,3
2020-06-18,5
2020-06-19,0
2020-06-20,2
2020-06-21,6
2020-06-22,1
2020-06-23,4
2020-06-24,0
2020-06-25,1
2020-06-26,2
2020-06-27,1
2020-06-28,0
2020-06-29,4
2020-06-30,0
2020-07-01,13
2020-07-02,0
2020-07-03,1
2020-07-06,1
2020-07-07,2
2020-07-08,2
2020-07-10,3
2020-07-12,2
2020-07-14,2
2020-07-16,1
2020-07-17,14
2020-07-18,11
2020-07-20,0
2020-07-21,6
2020-07-22,0
2020-07-27,2
2020-07-28,1
2020-07-30,2
2020-08-01,1
2020-08-02,1
2020-08-03,1
2020-08-06,1
2020-08-10,1
2020-08-11,2
2020-08-12,0
2020-08-13,1
2020-08-17,1
2020-08-18,1
2020-08-19,0
2020-08-20,1
2020-08-23,1
2020-08-25,2
2020-08-26,0
2020-08-29,1
2020-08-31,2
2020-09-01,1
2020-09-02,2
2020-09-03,4
2020-09-04,2
2020-09-05,1
2020-09-07,1
2020-09-09,0
2020-09-10,1
2020-09-12,1
2020-09-14,2
2020-09-16,6
2020-09-17,9
2020-09-18,0
2020-09-21,1
2020-09-22,1
2020-09-25,1
2020-09-29,2
2020-09-30,1
2020-10-01,1
2020-10-05,1
2020-10-06,13
2020-10-07,4
2020-10-08,3
2020-10-09,3
2020-10-12,3
2020-10-13,1
2020-10-14,2
2020-10-15,2
2020-10-16,17
2020-10-17,1
2020-10-18,1
2020-10-19,2
2020-10-20,10
2020-10-21,3
2020-10-22,5
2020-10-23,1
2020-10-24,4
2020-10-26,2
2020-10-27,3
2020-10-28,7
2020-10-29,1
2020-10-31,1
2020-11-02,1
2020-11-03,9
2020-11-04,0
2020-11-05,13
2020-11-06,0
2020-11-08,0
2020-11-10,4
2020-11-12,1
2020-11-13,0
2020-11-14,3
2020-11-15,1
2020-11-16,3
2020-11-17,2
2020-11-18,3
2020-11-19,3
2020-11-21,1
2020-11-22,2
2020-11-23,3
2020-11-24,5
2020-11-25,1
2020-11-26,1
2020-11-27,2
2020-11-28,2
2020-11-30,1
2020-12-02,3
2020-12-03,3
2020-12-04,3
2020-12-08,7
2020-12-09,2
2020-12-10,2
2020-12-11,11
2020-12-15,7
2020-12-16,1
2020-12-18,7
2020-12-19,3
2020-12-22,1
2020-12-23,3
2020-12-24,5
2020-12-26,0
2020-12-27,1
2020-12-28,1
2020-12-29,1
2020-12-31,1
2021-01-02,2
2021-01-03,1
2021-01-05,2
2021-01-06,1
2021-01-08,0
2021-01-11,3
2021-01-13,1
2021-01-14,1
2021-01-16,1
2021-01-17,3
2021-01-18,2
2021-01-19,1
2021-01-20,5
2021-01-21,7
2021-01-22,3
2021-01-25,0
2021-01-26,1
2021-01-27,1
2021-01-28,1
2021-01-29,2
2021-02-02,2
